"id","Name","sex","Age","height","weight","team","noc","games","Year","season","city","sport","Event","medal"
1142,Wendy Caroline Ager-Grant,F,"27","163","55",Great Britain,GBR,"1980 Summer",1980,Summer,Moskva,Fencing,"Fencing Women's Foil, Team",NA
1143,Jesper Agergrd Jensen,M,"25","180","69",Denmark,DEN,"2000 Summer",2000,Summer,Sydney,Cycling,"Cycling Men's Mountainbike, Cross-Country",NA
1144,Henrik Agersborg,M,"47",NA,NA,Stella-2,NOR,"1920 Summer",1920,Summer,Antwerpen,Sailing,Sailing Mixed 6 metres,Bronze
1145,Maia Kristiane Agerup,F,"21","172",NA,Norway,NOR,"2016 Summer",2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,NA
1146,Ragna Agerup,F,"21","168",NA,Norway,NOR,"2016 Summer",2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,NA
1147,Viktor Ivanovich Ageyev,M,"20","184","80",Soviet Union,URS,"1956 Summer",1956,Summer,Melbourne,Water Polo,Water Polo Men's Water Polo,Bronze
1147,Viktor Ivanovich Ageyev,M,"24","184","80",Soviet Union,URS,"1960 Summer",1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,Silver
1147,Viktor Ivanovich Ageyev,M,"28","184","80",Soviet Union,URS,"1964 Summer",1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Bronze
1148,Krishnan Kumar Aggarwal,M,"21","167","55",Kenya,KEN,"1960 Summer",1960,Summer,Roma,Hockey,Hockey Men's Hockey,NA
1148,Krishnan Kumar Aggarwal,M,"25","167","55",Kenya,KEN,"1964 Summer",1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,NA
1149,Neha Aggarwal,F,"18","170","67",India,IND,"2008 Summer",2008,Summer,Beijing,Table Tennis,Table Tennis Women's Singles,NA
1150,Sven Ingvar Agge,M,"34",NA,NA,Sweden,SWE,"1960 Winter",1960,Winter,Squaw Valley,Biathlon,Biathlon Men's 20 kilometres,NA
1151,Harald Agger,M,"19",NA,NA,Denmark,DEN,"1908 Summer",1908,Summer,London,Athletics,Athletics Men's Hammer Throw,NA
1152,Khoudir Aggoune,M,"23","175","66",Algeria,ALG,"2004 Summer",2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",NA
1153,Edward Jeff Aggrey-Fynn,M,"29","180","74",Ghana,GHA,"1964 Summer",1964,Summer,Tokyo,Football,Football Men's Football,NA
1154,Adalbert Agh,M,"26","186","90",Romania,ROU,"1972 Summer",1972,Summer,Munich,Rowing,Rowing Men's Coxless Fours,NA
1155,Istvn gh,M,"22","176","82",Hungary,HUN,"1992 Summer",1992,Summer,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",NA
1155,Istvn gh,M,"22","176","82",Hungary,HUN,"1992 Summer",1992,Summer,Barcelona,Shooting,"Shooting Men's Free Pistol, 50 metres",NA
1156,Norbert gh,M,"18","194","78",Hungary,HUN,"1988 Summer",1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,NA
1156,Norbert gh,M,"18","194","78",Hungary,HUN,"1988 Summer",1988,Summer,Seoul,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
1157,Olivr gh,M,"17","187","78",Hungary,HUN,"1992 Summer",1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,NA
1157,Olivr gh,M,"17","187","78",Hungary,HUN,"1992 Summer",1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Backstroke,NA
1157,Olivr gh,M,"21","187","78",Hungary,HUN,"1996 Summer",1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Backstroke,NA
1158,Mamed Aghaev,M,"28","177","84",Armenia,ARM,"2004 Summer",2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",NA
1159,Julius Aghahowa,M,"18","173","75",Nigeria,NGR,"2000 Summer",2000,Summer,Sydney,Football,Football Men's Football,NA
1160,Nasser Aghaie,M,"20","160","51",Iran,IRI,"1964 Summer",1964,Summer,Tokyo,Boxing,Boxing Men's Flyweight,NA
1161,Emanoul B. Aghasi (Agassian-),M,"17",NA,NA,Iran,IRI,"1948 Summer",1948,Summer,London,Boxing,Boxing Men's Bantamweight,NA
1161,Emanoul B. Aghasi (Agassian-),M,"21",NA,NA,Iran,IRI,"1952 Summer",1952,Summer,Helsinki,Boxing,Boxing Men's Featherweight,NA
1162,Levon Aghasyan,M,"21","193","75",Armenia,ARM,"2016 Summer",2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,NA
